0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:03:15 +0800] "GET /BFoa/web/imgs/accountbar.jpg HTTP/1.1" 200 21665
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:03:15 +0800] "GET /BFoa/web/imgs/button_normal.jpg HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:03:22 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 14862
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:06:56 +0800] "GET /BFoa/web/imgs/lcgl_choose.jpg HTTP/1.1" 200 15026
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:07:48 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:07:48 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:07:48 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:07:48 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:07:48 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:07:53 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:07:53 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:07:56 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 14862
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:49 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:49 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:49 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:49 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:50 +0800] "GET /BFoa/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:50 +0800] "GET /BFoa/web/js/jquery-1.4.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:50 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:51 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:53 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 8666
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:53 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 8666
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:55 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 8666
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:19:57 +0800] "GET /BFoa/bfdep/dep_showTree.action HTTP/1.1" 200 5831
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:20:01 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 8666
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:20:02 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 8666
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:20:02 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 8666
0:0:0:0:0:0:0:1 - - [01/Oct/2016:02:20:03 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 8666
