127.0.0.1 - - [12/Oct/2016:23:05:18 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:05:24 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:05:24 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:05:24 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:05:24 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:06:02 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:06:02 +0800] "GET /BFoa/web/js/mainjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:06:21 +0800] "GET /BFoa/bfdep/dep_showTree.action HTTP/1.1" 500 33032
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:07:26 +0800] "GET /BFoa/bfdep/dep_showTree.action HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:07:27 +0800] "GET /BFoa/web/imgs/button_hover.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:07:31 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 22321
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:15:02 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:15:02 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:15:02 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:15:02 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:15:08 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:15:09 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:15:09 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:15:10 +0800] "GET /BFoa/bfdep/dep_showTree.action HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [12/Oct/2016:23:15:13 +0800] "GET /BFoa/bfemp/emp.action HTTP/1.1" 500 22321
