127.0.0.1 - - [26/Sep/2016:10:09:51 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:09:55 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:09:55 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:09:55 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:09:55 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/js/jquery-1.4.2.min.js HTTP/1.1" 200 72174
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/css/reset.css HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/Bitmap_203.bmp HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/Bitmap_202.bmp HTTP/1.1" 200 5276
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/Bitmap_201.bmp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/main_top_bar.jpg HTTP/1.1" 200 11054
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/mainFunction_bar.jpg HTTP/1.1" 200 28594
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/qxgl_normal.jpg HTTP/1.1" 200 13916
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/logo.jpg HTTP/1.1" 200 63400
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/gwgl_normal.jpg HTTP/1.1" 200 13472
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/zzgl_normal.jpg HTTP/1.1" 200 13696
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/lcgl_normal.jpg HTTP/1.1" 200 13292
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:22 +0800] "GET /BFoa/web/imgs/main_left_bar2.jpg HTTP/1.1" 200 11116
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:23 +0800] "GET /BFoa/UntitledFrame-2 HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:26 +0800] "GET /BFoa/web/imgs/zzgl_choose.jpg HTTP/1.1" 200 15672
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:26 +0800] "GET /BFoa/main_right_zzgl.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:27 +0800] "GET /BFoa/web/imgs/qxgl_choose.jpg HTTP/1.1" 200 15613
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:28 +0800] "GET /BFoa/main_right_zzgl.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:29 +0800] "GET /BFoa/main_right_qxgl.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:30 +0800] "GET /BFoa/web/imgs/gwgl_choose.jpg HTTP/1.1" 200 15061
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:30 +0800] "GET /BFoa/main_right_gwgl.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:30 +0800] "GET /BFoa/web/imgs/lcgl_choose.jpg HTTP/1.1" 200 15026
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:31 +0800] "GET /BFoa/main_right_lcgl.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:13:31 +0800] "GET /BFoa/main_right_zzgl.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [26/Sep/2016:10:14:25 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
