127.0.0.1 - - [21/Sep/2016:19:15:08 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:45 +0800] "GET /BFoa/web/imgs/icos/zzgl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:45 +0800] "GET /BFoa/web/imgs/icos/yggl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:47 +0800] "GET /BFoa/web/imgs/gwgl_choose.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/page/main/main_right_qxgl.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/page/main/main_right_qxgl.jsp HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/imgs/icos/mkgl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/imgs/icos/zhgl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/imgs/lcgl_choose.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/page/main/main_right_gwgl.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/page/main/main_right_gwgl.jsp HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/imgs/down_point.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/imgs/icos/wdgw.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/imgs/icos/tjgw.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/imgs/icos/gwsp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/page/main/main_right_lcgl.jsp HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/page/main/main_right_lcgl.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/imgs/icos/cklcdy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:48 +0800] "GET /BFoa/web/imgs/icos/fblc.jpg HTTP/1.1" 304 -
