127.0.0.1 - - [28/Sep/2016:11:07:32 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:34 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:34 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:34 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:34 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:45 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:45 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:45 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:45 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:47 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:47 +0800] "GET /BFoa/web/js/mainjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:49 +0800] "GET /BFoa/web/page/main/main_right_gwgl.jsp HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:49 +0800] "GET /BFoa/web/imgs/down_point.jpg HTTP/1.1" 200 8529
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:49 +0800] "GET /BFoa/web/imgs/icos/tjgw.jpg HTTP/1.1" 200 14736
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:49 +0800] "GET /BFoa/web/imgs/icos/wdgw.jpg HTTP/1.1" 200 15403
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:49 +0800] "GET /BFoa/web/imgs/icos/gwsp.jpg HTTP/1.1" 200 15385
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:50 +0800] "GET /BFoa/web/page/main/main_right_qxgl.jsp HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:50 +0800] "GET /BFoa/web/page/main/main_right_qxgl.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:50 +0800] "GET /BFoa/web/imgs/icos/mkgl.jpg HTTP/1.1" 200 15064
0:0:0:0:0:0:0:1 - - [28/Sep/2016:11:07:50 +0800] "GET /BFoa/web/imgs/icos/zhgl.jpg HTTP/1.1" 200 15955
